Timestamp	Filename	Error	Message
2023-03-02 11:03:54.251 +0800	InputCOA	0	script steps imported : 9
2023-03-02 11:03:54.255 +0800	GL.fmp12	0	Import completed
2023-03-02 11:06:28.589 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:06:28.604 +0800	InputCOA	0	script steps imported : 2
2023-03-02 11:06:28.606 +0800	GL.fmp12	0	Import completed
2023-03-02 11:14:54.714 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:14:54.729 +0800	InputCOA	0	script steps imported : 1
2023-03-02 11:14:54.730 +0800	GL.fmp12	0	Import completed
2023-03-02 11:15:08.430 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:15:08.444 +0800	InputCOA	0	script steps imported : 1
2023-03-02 11:15:08.444 +0800	GL.fmp12	0	Import completed
2023-03-02 11:16:16.727 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:16:16.758 +0800	ValidasiCOA	0	script steps imported : 103
2023-03-02 11:16:16.763 +0800	GL.fmp12	0	Import completed
2023-03-02 11:17:58.395 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:17:58.412 +0800	InputCOA	3702	Unknown Error: <unknown>.
2023-03-02 11:17:58.416 +0800	InputCOA	0	script steps imported : 9
2023-03-02 11:17:58.417 +0800	GL.fmp12	0	Import completed
2023-03-02 11:18:18.928 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:18:18.935 +0800	InputCOA	0	script steps imported : 8
2023-03-02 11:18:18.937 +0800	GL.fmp12	0	Import completed
2023-03-02 11:20:40.820 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:20:40.835 +0800	InputCOA	0	script steps imported : 8
2023-03-02 11:20:40.836 +0800	GL.fmp12	0	Import completed
2023-03-02 11:22:51.214 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:22:51.229 +0800	InputCOA	0	script steps imported : 8
2023-03-02 11:22:51.231 +0800	GL.fmp12	0	Import completed
2023-03-02 11:29:40.145 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:29:40.159 +0800	InputCOA	0	script steps imported : 1
2023-03-02 11:29:40.160 +0800	GL.fmp12	0	Import completed
2023-03-02 11:30:00.581 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:30:00.597 +0800	InputCOA	0	script steps imported : 1
2023-03-02 11:30:00.598 +0800	GL.fmp12	0	Import completed
